# wavelength[A] tau flux flux_error
1.151770e+03 1.563623e-02 9.844854e-01 9.922124e-02
1.151780e+03 1.563664e-02 9.844850e-01 9.922122e-02
1.151790e+03 1.563704e-02 9.844846e-01 9.922120e-02
1.151800e+03 1.563745e-02 9.844842e-01 9.922118e-02
1.151810e+03 1.563786e-02 9.844838e-01 9.922116e-02
1.151820e+03 1.563826e-02 9.844834e-01 9.922114e-02
1.151830e+03 1.563867e-02 9.844830e-01 9.922112e-02
1.151840e+03 1.563908e-02 9.844826e-01 9.922110e-02
1.151850e+03 1.563949e-02 9.844822e-01 9.922108e-02
1.151860e+03 1.563989e-02 9.844818e-01 9.922105e-02
1.151870e+03 1.564030e-02 9.844814e-01 9.922103e-02
1.151880e+03 1.564071e-02 9.844810e-01 9.922101e-02
1.151890e+03 1.564112e-02 9.844806e-01 9.922099e-02
1.151900e+03 1.564152e-02 9.844802e-01 9.922097e-02
1.151910e+03 1.564193e-02 9.844798e-01 9.922095e-02
1.151920e+03 1.564234e-02 9.844794e-01 9.922093e-02
1.151930e+03 1.564275e-02 9.844790e-01 9.922091e-02
1.151940e+03 1.564315e-02 9.844786e-01 9.922089e-02
1.151950e+03 1.564356e-02 9.844782e-01 9.922087e-02
1.151960e+03 1.564397e-02 9.844778e-01 9.922085e-02
1.151970e+03 1.564438e-02 9.844774e-01 9.922083e-02
1.151980e+03 1.564478e-02 9.844770e-01 9.922081e-02
1.151990e+03 1.564519e-02 9.844766e-01 9.922079e-02
1.152000e+03 1.564560e-02 9.844762e-01 9.922077e-02
1.152010e+03 1.564600e-02 9.844758e-01 9.922075e-02
1.152020e+03 1.564641e-02 9.844754e-01 9.922073e-02
1.152030e+03 1.564682e-02 9.844750e-01 9.922071e-02
1.152040e+03 1.564723e-02 9.844746e-01 9.922069e-02
1.152050e+03 1.564763e-02 9.844742e-01 9.922067e-02
1.152060e+03 1.564804e-02 9.844738e-01 9.922065e-02
1.152070e+03 1.564845e-02 9.844734e-01 9.922063e-02
1.152080e+03 1.564886e-02 9.844729e-01 9.922061e-02
1.152090e+03 1.564926e-02 9.844725e-01 9.922059e-02
1.152100e+03 1.564967e-02 9.844721e-01 9.922057e-02
1.152110e+03 1.565008e-02 9.844717e-01 9.922055e-02
1.152120e+03 1.565049e-02 9.844713e-01 9.922053e-02
1.152130e+03 1.565089e-02 9.844709e-01 9.922051e-02
1.152140e+03 1.565130e-02 9.844705e-01 9.922049e-02
1.152150e+03 1.565171e-02 9.844701e-01 9.922047e-02
1.152160e+03 1.565212e-02 9.844697e-01 9.922045e-02
1.152170e+03 1.565252e-02 9.844693e-01 9.922043e-02
1.152180e+03 1.565293e-02 9.844689e-01 9.922041e-02
1.152190e+03 1.565334e-02 9.844685e-01 9.922039e-02
1.152200e+03 1.565375e-02 9.844681e-01 9.922037e-02
1.152210e+03 1.565416e-02 9.844677e-01 9.922035e-02
1.152220e+03 1.565456e-02 9.844673e-01 9.922033e-02
1.152230e+03 1.565497e-02 9.844669e-01 9.922031e-02
1.152240e+03 1.565538e-02 9.844665e-01 9.922029e-02
1.152250e+03 1.565579e-02 9.844661e-01 9.922027e-02
1.152260e+03 1.565619e-02 9.844657e-01 9.922025e-02
1.152270e+03 1.565660e-02 9.844653e-01 9.922023e-02
1.152280e+03 1.565701e-02 9.844649e-01 9.922021e-02
1.152290e+03 1.565742e-02 9.844645e-01 9.922019e-02
1.152300e+03 1.565782e-02 9.844641e-01 9.922017e-02
1.152310e+03 1.565823e-02 9.844637e-01 9.922015e-02
1.152320e+03 1.565864e-02 9.844633e-01 9.922012e-02
1.152330e+03 1.565905e-02 9.844629e-01 9.922010e-02
1.152340e+03 1.565945e-02 9.844625e-01 9.922008e-02
1.152350e+03 1.565986e-02 9.844621e-01 9.922006e-02
1.152360e+03 1.566027e-02 9.844617e-01 9.922004e-02
1.152370e+03 1.566068e-02 9.844613e-01 9.922002e-02
1.152380e+03 1.566109e-02 9.844609e-01 9.922000e-02
1.152390e+03 1.566149e-02 9.844605e-01 9.921998e-02
1.152400e+03 1.566190e-02 9.844601e-01 9.921996e-02
1.152410e+03 1.566231e-02 9.844597e-01 9.921994e-02
1.152420e+03 1.566272e-02 9.844593e-01 9.921992e-02
1.152430e+03 1.566312e-02 9.844589e-01 9.921990e-02
1.152440e+03 1.566353e-02 9.844585e-01 9.921988e-02
1.152450e+03 1.566394e-02 9.844581e-01 9.921986e-02
1.152460e+03 1.566435e-02 9.844577e-01 9.921984e-02
1.152470e+03 1.566475e-02 9.844573e-01 9.921982e-02
1.152480e+03 1.566516e-02 9.844569e-01 9.921980e-02
1.152490e+03 1.566557e-02 9.844565e-01 9.921978e-02
1.152500e+03 1.566598e-02 9.844561e-01 9.921976e-02
1.152510e+03 1.566639e-02 9.844557e-01 9.921974e-02
1.152520e+03 1.566679e-02 9.844553e-01 9.921972e-02
1.152530e+03 1.566720e-02 9.844549e-01 9.921970e-02
1.152540e+03 1.566761e-02 9.844545e-01 9.921968e-02
1.152550e+03 1.566802e-02 9.844541e-01 9.921966e-02
1.152560e+03 1.566843e-02 9.844537e-01 9.921964e-02
1.152570e+03 1.566883e-02 9.844533e-01 9.921962e-02
1.152580e+03 1.566924e-02 9.844529e-01 9.921960e-02
1.152590e+03 1.566965e-02 9.844525e-01 9.921958e-02
1.152600e+03 1.567006e-02 9.844521e-01 9.921956e-02
1.152610e+03 1.567046e-02 9.844517e-01 9.921954e-02
1.152620e+03 1.567087e-02 9.844513e-01 9.921952e-02
1.152630e+03 1.567128e-02 9.844509e-01 9.921950e-02
1.152640e+03 1.567169e-02 9.844505e-01 9.921948e-02
1.152650e+03 1.567210e-02 9.844501e-01 9.921946e-02
